,负面情感词语（中文）,正面情感词语（中文）,中性情感词语（中文）
卑怯,1.0,0.0,0.0
不灵巧,1.0,0.0,0.0
理屈,1.0,0.0,0.0
简练,0.0,1.0,0.0
愁肠百结,1.0,0.0,0.0
令人信服,0.0,1.0,0.0
芾,0.0,1.0,0.0
遂意,0.0,1.0,0.0
鄙俚,1.0,0.0,0.0
差可,1.0,0.0,0.0
贸然,1.0,0.0,0.0
敬畏,0.0,1.0,0.0
失节,1.0,0.0,0.0
毫无疑义,0.0,1.0,0.0
辛苦,1.0,1.0,0.0
和缓,0.0,1.0,0.0
打怵,1.0,0.0,0.0
十室九空,1.0,0.0,0.0
粗拙,1.0,0.0,0.0
死去活来,1.0,0.0,0.0
悻然,1.0,0.0,0.0
谦虚,0.0,1.0,0.0
百废俱兴,0.0,1.0,0.0
引领,0.0,1.0,0.0
藏奸,1.0,0.0,0.0
金不换,0.0,1.0,0.0
实,0.0,1.0,0.0
随便,1.0,1.0,0.0
强有力,0.0,1.0,0.0
气盛,1.0,0.0,0.0
力透纸背,0.0,1.0,0.0
精美,0.0,1.0,0.0
担心,1.0,0.0,0.0
来得,0.0,1.0,0.0
颤颤巍巍,1.0,0.0,0.0
无华,0.0,1.0,0.0
怵头,1.0,0.0,0.0
不仁,1.0,0.0,0.0
兔死狐悲,1.0,0.0,0.0
恚,1.0,0.0,0.0
深透,0.0,1.0,0.0
以一当十,0.0,1.0,0.0
欢喜,0.0,1.0,0.0
不大不小,0.0,1.0,0.0
禽兽不如,1.0,0.0,0.0
粗鲁,1.0,0.0,0.0
婚生,0.0,1.0,0.0
憧憬,0.0,1.0,0.0
冥顽,1.0,0.0,0.0
气冲冲,1.0,0.0,0.0
打憷,1.0,0.0,0.0
枝繁叶茂,0.0,1.0,0.0
道不拾遗,0.0,1.0,0.0
惨绝人寰,1.0,0.0,0.0
深入人心,0.0,1.0,0.0
拙,1.0,0.0,0.0
紧,1.0,0.0,0.0
昭彰,0.0,1.0,0.0
淡泊明志,0.0,1.0,0.0
中意,0.0,1.0,0.0
下等,1.0,0.0,0.0
合理,0.0,1.0,0.0
阴沉沉,1.0,0.0,0.0
体念,1.0,0.0,0.0
气粗,1.0,0.0,0.0
指摘,1.0,0.0,0.0
清廉,0.0,1.0,0.0
盛气凌人,1.0,0.0,0.0
雷打不动,0.0,1.0,0.0
曼妙,0.0,1.0,0.0
松动,1.0,1.0,0.0
可贵,0.0,1.0,0.0
显贵,0.0,1.0,0.0
扎手,1.0,0.0,0.0
冬烘,1.0,0.0,0.0
要言不烦,0.0,1.0,0.0
人为财死，鸟为食亡,1.0,0.0,0.0
清幽幽,0.0,1.0,0.0
惹气,1.0,0.0,0.0
玲珑,0.0,1.0,0.0
正色,1.0,0.0,0.0
烈性子,1.0,0.0,0.0
唱喏,0.0,1.0,0.0
等闲视之,1.0,0.0,0.0
兔死狗烹,1.0,0.0,0.0
照旧,0.0,1.0,0.0
